experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,6.13,0.00989,0.00998,0.01009,"0.01005, 0.01003, 0.01007, 0.01009, 0.00998","а;
тот бниб:
осиб уж слезный
и думу заомлю язьяно.
его строд
еще там.

xxiv

шитаю
ровственной,
в оси"
2,100,32,1,9.97,0.00988,0.00976,0.01003,"0.00984, 0.00993, 0.00978, 0.00986, 0.00976","амли толем,
пророй;

поститный помнять жемя,
там утреннье, в ней угое печем,
и цыло в нем:
павершисно"
3,200,32,1,18.22,0.00968,0.00955,0.00983,"0.00971, 0.00961, 0.00955, 0.00958, 0.00962","а.
суда. друзьме счасткой мнох:
не что мрасить завечел страсит.

xxxi

xviii

тапи друга уму излистви"
4,50,64,1,9.16,0.00953,0.00946,0.00952,"0.00952, 0.00951, 0.00948, 0.00952, 0.00946","амых, иi. с горлю защенном чувству пиршине из за -биль бы нагда ненью утлавсях,
недить и в свой там п"
5,100,64,1,20.0,0.0094,0.00935,0.00945,"0.00935, 0.00938, 0.00942, 0.0094, 0.00935","ам без иль нет;
и в руких из сти ждень;
как я впросель,
обумстою вправою.
он.
ко откруш!
полу в лицы "
6,200,64,1,31.52,0.00911,0.00916,0.00941,"0.00932, 0.00925, 0.00918, 0.0093, 0.00916","азомилек, вот толгй невержешь,
и плости порой.

xliv

татьяна,
ирагая
он и просела.
ветель,
объетвен "
7,50,128,1,14.28,0.00921,0.0091,0.00926,"0.00926, 0.00917, 0.00913, 0.00913, 0.0091","ал бедной
уж няна разался
исстодушинали скорый . . . . . . . .
. . . . . . . . . . . . . .
. . . . . "
8,100,128,1,30.54,0.00918,0.00908,0.00914,"0.00908, 0.00914, 0.00909, 0.00912, 0.00909","ады раздорон шлипить, уславно яник я; поленья!
скордуску плава,
слови.
всегда друг презревит

все про"
9,200,128,1,63.02,0.00894,0.00898,0.0091,"0.00901, 0.00903, 0.00902, 0.00898, 0.00901","ать: пуменной,
уж улатался чночь;
и не пониму,
когне фрывно вас вечер тепести бустосться украв, лиску"
10,300,64,1,50.28,0.00894,0.00897,0.00912,"0.00905, 0.00903, 0.00905, 0.009, 0.00904","а;
то ошких видетнись.

xx

где жный умой сроки.
к ней,
нелы,
он замений),
что прията; скрочу в шупсы"
