experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,5.86,0.00923,0.00902,0.0093,"0.00902, 0.00907, 0.00917, 0.0093, 0.00921","ана дай правски со порой,
конецмет шебед;
вы бресто,
и репенил... и это, другу в лицом,
полон,
не сад"
2,100,32,1,11.22,0.00937,0.00909,0.00924,"0.00922, 0.00923, 0.00924, 0.00921, 0.00909","аплюцей.
как на страдет не отелидих читатя там хранит осуж,
сидет,
и ск очем отилила ты, брега;
к дуг"
3,200,32,1,18.92,0.00919,0.00898,0.00926,"0.00906, 0.00911, 0.0091, 0.00913, 0.00914","а печальным,
не мыслей;
он другаем нажель;
как угодно ботупелья видит: вам сосед. {16}
как улыбках тр"
4,50,64,1,7.29,0.00905,0.00892,0.00903,"0.009, 0.00903, 0.00894, 0.00897, 0.00892","а просла,
готов,
мой заходлаве уб неворы,
модны, ты, давной
тодмет каминые, красу, остави мне поступи"
5,100,64,1,14.53,0.00893,0.00889,0.009,"0.00893, 0.00894, 0.00889, 0.00898, 0.00891","адомин?....

xiv

поклrя, столостью не переставил спроя тибиченьемананный лестным дитящей порой финиш"
6,200,64,1,32.75,0.00879,0.00882,0.00894,"0.00893, 0.00887, 0.00885, 0.00888, 0.00882","ал горон, мой дну едам! что мноспелете,
так гузы онегин на смущел волест и на сердинывь примах,
и дел"
7,50,128,1,17.67,0.00864,0.00874,0.00886,"0.00886, 0.00883, 0.00882, 0.00874, 0.00879","атра ты, в забакие, нас,
таук разяз
отнеченьей быть полны.
с обой от:
любвенный страсный, не рощий.

"
8,100,128,1,33.9,0.00877,0.00874,0.00886,"0.00879, 0.00879, 0.00881, 0.00877, 0.00878","а два равсем героб?""

lvii

тутклений
письма
меня много друг, он, может, подиты радосться несходить. "
9,200,128,1,66.14,0.00882,0.00871,0.00881,"0.00878, 0.00874, 0.00872, 0.00874, 0.00871","ал болодной {25}.
прида супруг липящетит,
все, быстот, не то ехоплетослиски,
и деркзыт моя пробусь ли"
10,300,64,1,48.46,0.00898,0.00879,0.00894,"0.00888, 0.00882, 0.00887, 0.00889, 0.00886","ал их ленски, владимир мыду логой в был с соспоклитель,
как уж давновлющух, что-то чред,
по мне мне н"
